"","x"
"951",2
"952",2
"953",5
"954",3
"955",1
"956",0
"957",3
"958",2
"959",4
"960",4
"961",4
"962",6
"963",5
"964",3
"965",1
"966",7
"967",1
"968",4
"969",2
"970",5
"971",4
"972",3
"973",1
"974",1
"975",4
"976",2
"977",3
"978",1
"979",4
"980",5
"981",2
"982",10
"983",7
"984",7
"985",4
"986",7
"987",3
"988",4
"989",4
"990",2
"991",8
"992",3
"993",3
"994",4
"995",13
"996",4
"997",4
"998",3
"999",7
"1000",4
